date,total
2020-02-03,395190.0
2020-02-04,414552.0
2020-02-05,411248.0
2020-02-06,416749.0
2020-02-07,385195.0
2020-02-08,165790.0
2020-02-09,87237.0
2020-02-10,401347.0
2020-02-11,415791.0
2020-02-12,414826.0
2020-02-13,420423.0
2020-02-14,364743.0
2020-02-15,147002.0
2020-02-16,104449.0
2020-02-17,156043.0
2020-02-18,410161.0
2020-02-19,410406.0
2020-02-20,413570.0
2020-02-21,380464.0
2020-02-22,147956.0
2020-02-23,99010.0
2020-02-24,403002.0
2020-02-25,422560.0
2020-02-26,416622.0
2020-02-27,419383.0
2020-02-28,370278.0
2020-02-29,139067.0
2020-03-01,88351.0
2020-03-02,379775.0
2020-03-03,388262.0
2020-03-04,384382.0
2020-03-05,375215.0
2020-03-06,328949.0
2020-03-07,113388.0
2020-03-08,74791.0
2020-03-09,301547.0
2020-03-10,292011.0
2020-03-11,268192.0
2020-03-12,231820.0
2020-03-13,184605.0
2020-03-14,58187.0
2020-03-15,37006.0
2020-03-16,118572.0
2020-03-17,54031.0
2020-03-18,48085.0
2020-03-19,45915.0
2020-03-20,42461.0
2020-03-21,18793.0
2020-03-22,12737.0
2020-03-23,34933.0
2020-03-24,32117.0
2020-03-25,32625.0
2020-03-26,31601.0
2020-03-27,31142.0
2020-03-28,12389.0
2020-03-29,9453.0
2020-03-30,29584.0
2020-03-31,28877.0
2020-04-01,29895.0
2020-04-02,28649.0
2020-04-03,28965.0
2020-04-04,11430.0
2020-04-05,7835.0
2020-04-06,24909.0
2020-04-07,26378.0
2020-04-08,25507.0
2020-04-09,24688.0
2020-04-10,24401.0
2020-04-11,11292.0
2020-04-12,7582.0
2020-04-13,24271.0
2020-04-14,23871.0
2020-04-15,24498.0
2020-04-16,23779.0
2020-04-17,24006.0
2020-04-18,11249.0
2020-04-19,8205.0
2020-04-20,22997.0
2020-04-21,23277.0
2020-04-22,24205.0
2020-04-23,24089.0
2020-04-24,24530.0
2020-04-25,11895.0
2020-04-26,8763.0
2020-04-27,24209.0
2020-04-28,25007.0
2020-04-29,25302.0
2020-04-30,25687.0
2020-05-01,27074.0
2020-05-02,13163.0
2020-05-03,9963.0
2020-05-04,27070.0
2020-05-05,27562.0
2020-05-06,27768.0
2020-05-07,28113.0
2020-05-08,28220.0
2020-05-09,13679.0
2020-05-10,10221.0
2020-05-11,27407.0
2020-05-12,28172.0
2020-05-13,29119.0
2020-05-14,28966.0
2020-05-15,30170.0
2020-05-16,14484.0
2020-05-17,9980.0
2020-05-18,29555.0
2020-05-19,30978.0
2020-05-20,31271.0
2020-05-21,31384.0
2020-05-22,31376.0
2020-05-23,15186.0
2020-05-24,11720.0
2020-05-25,13133.0
2020-05-26,32527.0
2020-05-27,33004.0
2020-05-28,33681.0
2020-05-29,34152.0
2020-05-30,15568.0
2020-05-31,11924.0
